name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HAT-P-13 c,Confirmed,14.28,0.28,0.28,14.28,0.28,0.28,,,,446.27,0.22,0.22,1.186,0.033,0.033,0.6616,0.0054,0.0054,,,,0.005542,2009,22-08-2014,175.29,0.35,0.35,2454890.05,0.48,0.48,2455312.8,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5,0.8,0.8,5638,90,90,,,
HAT-P-17 c,Confirmed,1.4,,,1.4,,,,,,1798,,,2.75,,,0.1,,,,,,0.030556,2010,09-12-2010,155,,,2452636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90,3,3,0,,,0.857,0.039,0.039,0.837,,,K,7.8,,,5246,,,,,
HAT-P-2 c,Confirmed,10.7,2.2,2.2,10.7,2.2,2.2,,,,8500,1500,1500,9,1.08,1.08,0.37,0.12,0.12,,,,,2013,06-08-2024,90,16,16,2454150,800,800,,,,,,,,,,,,,,,,,,,89,13,13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HAT-P-2,245.15,41.0480556,8.71,,,,,118,8,8,0.04,0.05,0.05,1.34,0.09,0.09,1.54,0.12,0.12,F8IV,2.7,0.5,0.5,6414,51,51,,,
HATS-59 c,Confirmed,12.7,0.9,0.9,12.7,0.9,0.9,,,,1422,14,14,2.5,0.035,0.035,0.08,0.08,0.08,,,,,2018,16-05-2018,,,,,,,,,,,,,,,,,,,,,,,,,224,14,14,176,6.4,6.4,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HATS-59,170.325,-22.38805557,14,,,,,654,14,14,0.18,0.064,0.064,1.038,0.039,0.039,1.036,0.067,0.067,,4.3,2.3,2.3,5670,91,91,,,
HBC 428 b,Confirmed,29,1.6,1.6,12.7,0.7,0.7,,,,154.6,0.7,0.7,0.39,0.02,0.02,0.28,0.12,0.12,26,5,5,,2024,23-09-2024,,,,,,,,,,,,,,,,,,,,,,,,,1050,60,60,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,V347 Aur b,,HBC 428,74.23758982,51.51413445,,,8.06,8.82,9.99,206.6,2.3,2.3,,,,0.33,0.05,0.05,2.2,0.3,0.3,M2,0.0008,,,3300,50,50,,,*V347 Aur
HD 100546 b,Confirmed,1.65,,,,,,6.9,2.9,2.9,91250,,,53,2,2,,,,,,,,2013,06-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,202,202,,,,,,,Published in a refereed paper,"Imaging, Kinematic",Spectrum,,KR Mus b,,HD 100546,173.3541667,-70.1947222,6.7,,,,,110,0.6,0.6,,,,2.4,,,1.6,,,B9Vne,0.0048,0.002,0.002,11000,,,Imaging,,
HD 100655 Ab,Confirmed,1.7,0.2,0.2,1.7,0.2,0.2,,,,157.57,0.65,0.65,0.76,0.04,0.04,0.085,0.054,0.054,,,,0.00623,2011,01-08-2024,132,37,37,2453072.4,15.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 100655 A,173.7666667,20.4416667,6.45,,,,,122,8,8,0.15,0.12,0.12,2.4,0.4,0.4,9.3,1.1,1.1,G9/K0III,,,,4861,110,110,,,
HD 100777 b,Confirmed,1.16,0.03,0.03,1.16,0.03,0.03,,,,383.7,1.2,1.2,1.03,0.03,0.03,0.36,0.02,0.02,,,,0.019508,2007,30-08-2014,202.7,3.1,3.1,2453456.2,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 100777,173.9666667,-4.7558333,8.42,,,,,52.8,3.4,3.4,0.27,0.03,0.03,1,0.1,0.1,,,,K0,2,nan,nan,5582,24,24,,,
HD 10180 c,Confirmed,0.041217,,,0.041217,,,,,,5.75979,0.00062,0.00062,0.0641,0.001,0.001,0.045,0.026,0.026,,,,0.001627,2010,30-01-2012,332,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 10180 d,Confirmed,0.03696945,,,0.03696945,,,,,,16.3579,0.038,0.038,0.1286,0.002,0.002,0.088,0.041,0.041,,,,0.003264,2010,30-01-2012,315,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 10180 e,Confirmed,0.07897304,,,0.07897304,,,,,,49.745,0.022,0.022,0.2699,0.0042,0.0042,0.026,0.036,0.036,,,,0.00685,2010,30-01-2012,166,110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 10180 f,Confirmed,0.07519743,,,0.07519743,,,,,,122.76,0.17,0.17,0.4929,0.0078,0.0078,0.135,,,,,,0.01251,2010,30-01-2012,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 10180 g,Confirmed,0.06733159,,,0.06733159,,,,,,601.2,8.1,8.1,1.422,0.026,0.026,0.19,0.14,0.14,,,,0.036091,2010,06-12-2010,347,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 10180 h,Confirmed,0.202624,,,0.202624,,,,,,2222,91,91,3.4,0.11,0.11,0.08,0.07,0.07,,,,0.086294,2010,06-12-2010,174,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 101930 Ab,Confirmed,0.3,,,0.3,,,,,,70.46,0.18,0.18,0.302,,,0.11,0.02,0.02,,,,0.009905,2005,01-08-2024,251,11,11,2453145,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 101930 A,175.875,-58.0066667,8.21,,,,,30.49,,,0.17,0.06,0.06,0.74,0.05,0.05,,,,K1V,5.39,,,5079,62,62,,,
HD 102117 b,Confirmed,0.172,0.018,0.018,0.172,0.018,0.018,,,,20.67,0.04,0.04,0.1532,0.0088,0.0088,0.106,0.07,0.07,,,,0.003648,2004,30-08-2014,283,3,3,2450942.9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102117,176.2083333,-58.7036111,7.47,,,,,42,,,0.3,0.03,0.03,1.03,0.05,0.05,1.27,,,G6V,6.21,,,5672,22,22,,,
HD 102195 b,Confirmed,0.46,0.03,0.03,0.49,,,,,,4.114,0.00057,0.00057,0.049,,,0.14,0.14,0.14,78,6,6,0.001691,2005,07-07-2022,143.4,0,0,,,,,,,,,,,,,,,,,,,2453895.96,0.03,0.03,63.4,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,"CH4, H2O",HD 102195,176.425,2.8213889,8.05,,,,,28.98,1,1,0.05,0.05,0.05,0.926,0.016,0.016,0.835,0.016,0.016,K0V,2.4,1.8,1.8,5291,34,34,,,
HD 102272 b,Confirmed,5.9,0.2,0.2,5.9,0.2,0.2,,,,127.58,0.3,0.3,0.614,0.001,0.001,0.05,0.04,0.04,,,,0.001706,2008,11-06-2008,118,58,58,52146.5,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102272,176.6,14.1238889,8.71,,6.9,6.4,6.26,360,90,90,0.26,0.08,0.08,1.9,0.3,0.3,10.1,4.6,4.6,K0,,,,4908,35,35,,,
HD 102272 c,Confirmed,2.6,0.4,0.4,2.6,0.4,0.4,,,,520,26,26,1.57,0.05,0.05,0.68,0.06,0.06,,,,0.004361,2008,11-06-2008,320,10,10,54135.5,260,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102272,176.6,14.1238889,8.71,,6.9,6.4,6.26,360,90,90,0.26,0.08,0.08,1.9,0.3,0.3,10.1,4.6,4.6,K0,,,,4908,35,35,,,
HD 102329 b,Confirmed,5.9,0.3,0.3,5.9,0.3,0.3,,,,778.1,7.1,7.1,2.01,0.05,0.05,0.211,0.044,0.044,,,,0.012722,2011,01-09-2011,182,10,10,2455096,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102329,176.6958333,3.4741667,8.04,,,,,158,21,21,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,,1.6,0.4,0.4,4830,44,44,,,
HD 102329 c,Confirmed,1.52,0.25,0.25,1.52,0.25,0.25,,,,1123,53,53,,,,0.209,0.202,0.202,,,,,2010,30-03-2021,21,74,74,2454736,200,200,,,,,,,,,,,,,,,,,,,27.4,4.5,4.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 102329,176.6958333,3.4741667,8.04,,,,,158,21,21,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,,1.6,0.4,0.4,4830,44,44,,,
HD 102365 Ab,Confirmed,0.05,0.008,0.008,0.05,0.008,0.008,,,,122.1,0.3,0.3,0.46,0.04,0.04,0.34,0.14,0.14,,,,0.049784,2011,01-08-2024,105,22,22,2450129,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HD 102365 b, HR 4523 Ab, GJ 442 Ab",,HD 102365 A,176.6291667,-40.5002778,4.89,,,,,9.24,0.06,0.06,-0.28,0.07,0.07,0.85,,,,,,G2V,9,3,3,5650,100,100,IR Excess,,"HR 4523 A, GJ 442 A, LDS 6248 A"
HD 102843 b,Confirmed,0.3584,0.0456,0.0456,0.3584,0.0456,0.0456,,,,3090.9,295,295,4.074,0.27,0.27,0.11,0.07,0.07,,,,,2019,26-04-2019,108.7,49.4,49.4,,,,,,,,,,,,,,,,,,,,,,5.24,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 102843,177.59,-1.25,,,,,,62.85,0.19,0.19,,,,0.95,0.05,0.05,,,,K0V,,,,5436,69,69,,,
HD 102956 Ab,Confirmed,0.96,0.023,0.023,0.96,0.023,0.023,,,,6.4947,0.00019,0.00019,0.0807,0.0073,0.0073,0.037,0.019,0.019,,,,0.000643,2010,01-08-2024,301,33,33,2455351.45,0.64,0.64,,,,,,,,,,,,,,,,,,,74.6,1.8,1.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102956 A,177.8458333,57.6408333,8,,,,,126,13,13,0.19,0.04,0.04,1.68,0.11,0.11,4.4,0.1,0.1,K0III-IV,2.3,0.5,0.5,5054,44,44,,,
HD 103197 b,Confirmed,0.098,0.006,0.006,0.098,0.006,0.006,,,,47.84,0.03,0.03,0.249,0.004,0.004,0,,,,,,0.005051,2009,05-10-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 103197,178.2208333,-50.2927778,9.41,,,,,49.3,3.6,3.6,0.21,0.04,0.04,0.9,,,,,,K1V,9.1,,,5303,58,58,,,
HD 103720 b,Confirmed,0.62,0.025,0.025,0.62,0.025,0.025,,,,4.5557,0.0001,0.0001,0.0498,0.0008,0.0008,0.086,0.024,0.024,,,,,2014,08-01-2015,262,15,15,2455387.46,0.04,0.04,,,,,,,,,,,,,,,,,,,89,2,2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 103720,179.1708333,-2.778888914,9.49,,,,,41.6,2.1,2.1,-0.02,0.06,0.06,0.794,0.04,0.04,0.73,0.02,0.02,K3V,3.8,3.7,3.7,5017,88,88,,,
HD 103774 Ab,Confirmed,0.367,0.022,0.022,0.367,0.022,0.022,,,,5.8881,0.0005,0.0005,0.07,0.001,0.001,0.09,0.04,0.04,,,,,2013,01-08-2024,318,64,64,2455675.4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 103774 b,,HD 103774 A,179.2333,-12.1078,7.12,,,,,55,2,2,0.28,0.06,0.06,1.335,0.06,0.06,,,,F5V,1.05,0.64,0.64,6489,77,77,,,HD 103774
HD 103891 b,Confirmed,1.44,0.06,0.06,1.44,0.06,0.06,,,,1919,15,15,3.27,0.01,0.01,0.31,0.03,0.03,,,,,2021,17-12-2021,181.5,8.2,8.2,2455245,19,19,,,,,,,,,,,,,,,,,,,21.12,0.87,0.87,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 103891,179.4387625,-8.548713529,8.65,,,,,54.9,0.1,0.1,-0.19,0.01,0.01,1.28,0.01,0.01,2.2,0.05,0.05,F9,,,,6072,20,20,,,
HD 103949 b,Confirmed,0.0352,0.0072,0.0072,0.0352,0.0072,0.0072,,,,120.878,0.45,0.45,0.439,0.009,0.009,0.19,0.12,0.12,,,,,2019,26-04-2019,127.74,68.3,68.3,,,,,,,,,,,,,,,,,,,,,,1.77,0.35,0.35,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 103949,179.55,-23.92,,,,,,26.52,0.05,0.05,,,,0.77,0.04,0.04,,,,K3V,,,,4792,54,54,,,
HD 104067 b,Confirmed,0.1954,0.0104,0.0104,0.1954,0.0104,0.0104,,,,55.851,0.017,0.017,0.2674,0.0033,0.0033,0.12,0.051,0.051,,,,0.012707,2009,27-03-2024,27,25,25,2454159.5,3.5,3.5,,,,,,,,,,,,,,,,2454043.15,0.056,0.056,12,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 104067,179.7916667,-20.3538889,7.93,,,,,20.8,0.04,0.04,-0.06,0.05,0.05,0.791,0.02,0.02,,,,K2V,4.33,3.99,3.99,4969,72,72,IR Excess,,
HD 104067 c,Confirmed,0.0415,0.006,0.006,0.0415,0.006,0.006,,,,13.8992,0.004,0.004,0.1058,0.0013,0.0013,0.29,0.13,0.13,,,,,2024,15-04-2024,37,33,33,2455191.6,1.2,1.2,,,,,,,,,,,,,,,,,,,4.25,0.63,0.63,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 104067,179.7916667,-20.3538889,7.93,,,,,20.8,0.04,0.04,-0.06,0.05,0.05,0.791,0.02,0.02,,,,K2V,4.33,3.99,3.99,4969,72,72,IR Excess,,
HD 104985 b,Confirmed,8.3,,,8.3,,,,,,199.505,0.085,0.085,0.95,,,0.09,0.009,0.009,,,,0.007647,2003,22-01-2016,203.5,5.7,5.7,2451927.5,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 104985,181.3125,76.9055556,5.79,,,,,102,,,-0.35,,,1.6,,,10.87,0.36,0.36,G9 III,2.95,0.65,0.65,4786,,,,,
HD 105618 b,Confirmed,0.08,0.008,0.008,0.08,0.008,0.008,,,,10,0.001,0.001,0.091,0.004,0.004,0.455,0.038,0.038,,,,,2022,15-06-2024,306.513,3.817,3.817,,,,,,,,,,,,,,,,,,,,,,8.356,0.213,0.213,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 105618,182.4025868,11.21157827,8.64,,7.416,7.139,7.014,70.0837,0.247,0.247,,,,1.01,0.129,0.129,1.274,0.0546,0.0546,G3IV-V,,,,5671,105.878,105.878,,,
HD 105618 c,Confirmed,26.491,2.827,2.827,,,,,,,77114.1,10271.2,10271.2,35.731,3.639,3.639,0.126,0.08,0.08,31.968,3.897,3.897,,2022,15-06-2024,255.004,13.748,13.748,,,,,,,,,,,,,,,,,,,,,,66.452,1.286,1.286,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,,,HD 105618,182.4025868,11.21157827,8.64,,7.416,7.139,7.014,70.0837,0.247,0.247,,,,1.01,0.129,0.129,1.274,0.0546,0.0546,G3IV-V,,,,5671,105.878,105.878,,,
HD 105779 b,Confirmed,0.64,0.06,0.06,0.64,0.06,0.06,,,,2412,55,55,3.38,0.05,0.05,0,,,,,,,2021,17-12-2021,,,,2456782,39,39,,,,,,,,,,,,,,,,,,,10.42,1,1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 105779,182.662266,-16.95629168,8.64,,,,,55.1,0.3,0.3,-0.25,0.01,0.01,0.89,0.01,0.01,0.94,0.02,0.02,G2,,,,5792,16,16,,,
HD 106252 b,Confirmed,10,0.73,0.73,7.56,,,,,,1600,18,18,2.655,0.017,0.017,0.47,0.028,0.028,46,4.1,4.1,0.072115,2002,16-10-2024,292.2,3.2,3.2,51871,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 106252,183.3708333,10.0413889,7.36,,,,,37.44,,,-0.078,,,0.96,,,1.09,,,G0,5.02,,,5754,,,,,
HD 106270 b,Confirmed,11,0.8,0.8,11,0.8,0.8,,,,2890,390,390,4.3,0.4,0.4,0.402,0.054,0.054,,,,0.050648,2011,01-09-2011,15.4,0.4,0.4,2454830,390,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106270,183.4041667,-9.5133333,7.73,,,,,84.9,5.7,5.7,0.08,0.03,0.03,1.32,0.092,0.092,2.5,0.1,0.1,G5,4.3,0.6,0.6,5638,44,44,,,
HD 10647 Ab,Confirmed,0.93,0.18,0.18,0.93,0.18,0.18,,,,1003,56,56,2.03,0.15,0.15,0.1,0.01,0.01,,,,0.117341,2003,30-07-2024,108.9,8.2,8.2,2453654,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,q01 Eri b,,HD 10647 A,25.6208333,-53.7408333,5.52,,,,,17.3,,,-0.078,,,1.1,,,1.1,,,F8V,4.8,2.2,2.2,6039,,,Imaging,,q1 Eri
HD 106515 Ab,Confirmed,9.61,0.14,0.14,9.61,0.14,0.14,,,,3630,14.2,14.2,4.59,0.01,0.01,0.572,0.011,0.011,,,,,2011,01-08-2024,123.8,2.5,2.5,2451844,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106515 A,183.7791667,-7.2572222,7.35,,,,,35.2,1,1,0.01,,,0.91,0.03,0.03,,,,K0V,6,2,2,5232,,,,,"GJ 9398 A, HIP 59743 A, HIP 59743"
HD 106574 b,Confirmed,8.5,1.1,1.1,8.5,1.1,1.1,,,,1065.7,14.6,14.6,2.2,0.1,0.1,0.03,0.03,0.03,,,,,2018,15-08-2018,44.66,122.15,122.15,2455585,360,360,,,,,,,,,,,,,,,,,,,149,8,8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 106574,183.7853831,70.20000851,5.88,,,,,143,6,6,-0.43,0.04,0.04,1.2,0.1,0.1,17.1,0.9,0.9,K2 III,4.6,1.3,1.3,4501,33,33,,,
HD 107148 Ab,Confirmed,0.21,0.036,0.036,0.21,0.036,0.036,,,,48.056,0.057,0.057,0.269,0.016,0.016,0.05,0.17,0.17,,,,0.005244,2006,01-08-2024,75,,,2439969,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 107148 A,184.8041667,-3.3197222,8.01,,,,,51.3,2.6,2.6,0.314,,,1.12,,,,,,G5V,5.6,,,5797,,,,,
HD 107148 Ac,Confirmed,0.0626,0.0098,0.0098,0.0626,0.0098,0.0098,,,,18.3267,0.0024,0.0024,0.1406,0.0018,0.0018,0.34,0.16,0.16,,,,,2021,01-08-2024,315.5,24,24,,,,2455203.4,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 107148 A,184.8041667,-3.3197222,8.01,,,,,51.3,2.6,2.6,0.314,,,1.12,,,,,,G5V,5.6,,,5797,,,,,
HD 108147 b,Confirmed,0.261,0.04,0.04,0.261,0.04,0.04,,,,10.8985,0.0045,0.0045,0.102,0.06,0.06,0.53,0.12,0.12,,,,0.002645,2002,15-01-2016,308,24,24,2450828.86,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108147,186.4416667,-64.0219444,6.99,,,,,38.57,,,0.18,,,1.19,,,1.22,,,F8/G0 V,1.98,,,6067,,,,,
HD 108202 b,Confirmed,3,0.5,0.5,,,,,,,2990,54,54,3.7,0.1,0.1,0.52,0.04,0.04,56,13,13,,2023,14-08-2023,78,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 108202,186.4625,-1.110555566,10.2,,,,,38.65,0.03,0.03,,,,0.74,0.04,0.04,,,,K4/5V,6.5,4,4,,,,,,
HD 108341 Ab,Confirmed,3.5,3.4,3.4,3.5,3.4,3.4,,,,1129,6,6,2,0.04,0.04,0.85,0.09,0.09,,,,,2014,01-08-2024,56.7,4,4,2456633,33,33,,,,,,,,,,,,,,,,,,,144,311,311,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 108341 b,,HD 108341 A,186.8791667,-71.42305557,9.36,,,,,49.4,2.3,2.3,0.04,0.06,0.06,0.843,0.024,0.024,0.79,0.03,0.03,K2V,4.9,4.1,4.1,5122,79,79,,,HIP 60788
HD 108863 b,Confirmed,2.6,0.2,0.2,2.6,0.2,0.2,,,,443.4,4.2,4.2,1.4,0.03,0.03,0.1,inf,inf,,,,0.010072,2011,01-09-2011,177,60,60,2455516,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108863,187.5833333,21.9483333,7.89,,,,,139,15,15,0.2,0.03,0.03,1.85,0.13,0.13,5.6,0.1,0.1,K0,1.8,0.4,0.4,4956,44,44,,,
HD 108874 b,Confirmed,1.36,0.13,0.13,1.36,0.13,0.13,,,,395.4,2.5,2.5,1.051,0.02,0.02,0.07,0.04,0.04,,,,0.015343,2003,17-08-2012,248.4,36,36,60131.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1,,,1.22,,,G5,7.26,,,5407,,,IR Excess,,
HD 108874 c,Confirmed,1.018,0.3,0.3,1.018,0.3,0.3,,,,1605.8,88,88,2.68,0.25,0.25,0.25,0.07,0.07,,,,0.039124,2005,17-08-2012,17.3,23,23,14584.8,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1,,,1.22,,,G5,7.26,,,5407,,,IR Excess,,
HD 109246 b,Confirmed,0.77,0.09,0.09,0.77,0.09,0.09,,,,68.27,0.13,0.13,0.33,0.08,0.08,0.12,0.04,0.04,,,,0.00503,2010,27-06-2010,235,29,29,54824.6,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 109246,188.0291667,74.4894444,8.77,,,,,65.6,3,3,0.1,,,1.01,0.11,0.11,1.02,0.07,0.07,G0V,,,,5844,21,21,,,
HD 109271 Ab,Confirmed,0.054,0.004,0.004,0.054,0.004,0.004,,,,7.8543,0.0009,0.0009,0.079,0.001,0.001,0.25,0.08,0.08,,,,,2013,01-08-2024,296,20,20,2455719.1,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 109271 A,188.4,-11.6219,8.05,,,,,62,3,3,0.1,0.05,0.05,1.047,0.024,0.024,,,,G5V,7.3,1.2,1.2,5783,62,62,,,
HD 109271 Ac,Confirmed,0.076,0.007,0.007,0.076,0.007,0.007,,,,30.93,0.02,0.02,0.196,0.003,0.003,0.15,0.09,0.09,,,,,2013,01-08-2024,4,120,120,2455733,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 109271 A,188.4,-11.6219,8.05,,,,,62,3,3,0.1,0.05,0.05,1.047,0.024,0.024,,,,G5V,7.3,1.2,1.2,5783,62,62,,,
HD 109286 b,Confirmed,2.99,0.15,0.15,2.99,0.15,0.15,,,,520.1,2.3,2.3,1.259,0.022,0.022,0.338,0.035,0.035,,,,,2020,13-07-2021,133.1,7.4,7.4,2456094.7,9.2,9.2,,,,,,,,,,,,,,,,,,,81.6,2.8,2.8,259.4,5.5,5.5,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 109286,188.3958333,7.28083335,8.77,,,,,55.5,0.1,0.1,0.05,0.02,0.02,0.98,0.05,0.05,1.089,0.04,0.04,G5,,,,5694,23,23,,,
